path,label
resources/Mold_Patches\0\Mold-12_patch107.png,0
resources/Mold_Patches\0\Mold-6_patch68.png,0
resources/Mold_Patches\0\Mold-2_patch44.png,0
resources/Mold_Patches\1\Mold-9_randompatch_5.png,1
resources/Mold_Patches\0\Mold-1_patch15.png,0
resources/Mold_Patches\0\Mold-2_patch84.png,0
resources/Mold_Patches\0\Mold-12_patch99.png,0
resources/Mold_Patches\1\Mold-10_patch6.png,1
resources/Mold_Patches\0\Mold-11_patch11.png,0
resources/Mold_Patches\0\Mold-11_patch22.png,0
resources/Mold_Patches\0\Mold-6_patch20.png,0
resources/Mold_Patches\0\Mold-5_randompatch_2.png,0
resources/Mold_Patches\0\Mold-11_patch95.png,0
resources/Mold_Patches\0\Mold-11_patch58.png,0
resources/Mold_Patches\0\Mold-5_randompatch_1.png,0
resources/Mold_Patches\0\Mold-12_patch72.png,0
resources/Mold_Patches\1\Mold-2_patch41.png,1
resources/Mold_Patches\1\Mold-1_randompatch_8.png,1
resources/Mold_Patches\0\Mold-13_patch7.png,0
resources/Mold_Patches\1\Mold-7_randompatch_2.png,1
resources/Mold_Patches\1\Mold-11_patch51.png,1
resources/Mold_Patches\1\Mold-2_patch60.png,1
resources/Mold_Patches\0\Mold-12_patch38.png,0
resources/Mold_Patches\1\Mold-2_patch72.png,1
resources/Mold_Patches\0\Mold-5_patch12.png,0
resources/Mold_Patches\0\Mold-7_patch50.png,0
resources/Mold_Patches\1\Mold-6_patch18.png,1
resources/Mold_Patches\0\Mold-4_patch12.png,0
resources/Mold_Patches\0\Mold-7_patch18.png,0
resources/Mold_Patches\0\Mold-6_patch47.png,0
resources/Mold_Patches\1\Mold-11_randompatch_4.png,1
resources/Mold_Patches\0\Mold-2_randompatch_2.png,0
resources/Mold_Patches\0\Mold-12_patch56.png,0
resources/Mold_Patches\0\Mold-4_patch33.png,0
resources/Mold_Patches\0\Mold-11_patch103.png,0
resources/Mold_Patches\0\Mold-5_patch32.png,0
resources/Mold_Patches\0\Mold-9_patch18.png,0
resources/Mold_Patches\0\Mold-6_patch10.png,0
resources/Mold_Patches\0\Mold-11_patch54.png,0
resources/Mold_Patches\0\Mold-5_patch35.png,0
resources/Mold_Patches\0\Mold-2_patch102.png,0
resources/Mold_Patches\0\Mold-4_patch21.png,0
resources/Mold_Patches\0\Mold-4_patch19.png,0
resources/Mold_Patches\0\Mold-13_patch33.png,0
resources/Mold_Patches\1\Mold-11_patch71.png,1
resources/Mold_Patches\1\Mold-12_patch69.png,1
resources/Mold_Patches\0\Mold-5_patch53.png,0
resources/Mold_Patches\1\Mold-6_patch26.png,1
resources/Mold_Patches\0\Mold-11_patch21.png,0
resources/Mold_Patches\0\Mold-12_patch49.png,0
resources/Mold_Patches\0\Mold-12_patch33.png,0
resources/Mold_Patches\0\Mold-7_patch31.png,0
resources/Mold_Patches\1\Mold-12_patch41.png,1
resources/Mold_Patches\1\Mold-7_patch91.png,1
resources/Mold_Patches\0\Mold-11_patch55.png,0
resources/Mold_Patches\1\Mold-11_patch104.png,1
resources/Mold_Patches\0\Mold-7_patch92.png,0
resources/Mold_Patches\0\Mold-7_patch78.png,0
resources/Mold_Patches\0\Mold-12_patch25.png,0
resources/Mold_Patches\0\Mold-12_patch71.png,0
resources/Mold_Patches\0\Mold-5_patch18.png,0
resources/Mold_Patches\0\Mold-11_patch112.png,0
resources/Mold_Patches\0\Mold-2_patch98.png,0
resources/Mold_Patches\0\Mold-2_patch107.png,0
resources/Mold_Patches\0\Mold-5_patch7.png,0
resources/Mold_Patches\1\Mold-12_patch59.png,1
resources/Mold_Patches\1\Mold-11_patch40.png,1
resources/Mold_Patches\0\Mold-7_patch55.png,0
resources/Mold_Patches\0\Mold-10_patch21.png,0
resources/Mold_Patches\0\Mold-7_patch32.png,0
resources/Mold_Patches\1\Mold-2_patch91.png,1
resources/Mold_Patches\1\Mold-11_patch43.png,1
resources/Mold_Patches\0\Mold-5_patch52.png,0
resources/Mold_Patches\1\Mold-7_patch34.png,1
resources/Mold_Patches\1\Mold-7_patch93.png,1
resources/Mold_Patches\1\Mold-6_patch29.png,1
resources/Mold_Patches\0\Mold-9_patch12.png,0
resources/Mold_Patches\1\Mold-12_patch64.png,1
resources/Mold_Patches\1\Mold-1_randompatch_6.png,1
resources/Mold_Patches\0\Mold-12_patch5.png,0
resources/Mold_Patches\0\Mold-7_patch57.png,0
resources/Mold_Patches\0\Mold-5_patch15.png,0
resources/Mold_Patches\0\Mold-6_patch13.png,0
resources/Mold_Patches\1\Mold-12_patch85.png,1
resources/Mold_Patches\0\Mold-15_patch1.png,0
resources/Mold_Patches\1\Mold-7_randompatch_7.png,1
resources/Mold_Patches\0\Mold-4_patch22.png,0
resources/Mold_Patches\0\Mold-13_patch6.png,0
resources/Mold_Patches\0\Mold-6_patch31.png,0
resources/Mold_Patches\0\Mold-2_patch94.png,0
resources/Mold_Patches\1\Mold-11_patch76.png,1
resources/Mold_Patches\0\Mold-2_patch7.png,0
resources/Mold_Patches\1\Mold-1_randompatch_3.png,1
resources/Mold_Patches\0\Mold-5_patch47.png,0
resources/Mold_Patches\1\Mold-1_randompatch_1.png,1
resources/Mold_Patches\0\Mold-11_patch31.png,0
resources/Mold_Patches\0\Mold-6_patch63.png,0
resources/Mold_Patches\1\Mold-6_patch39.png,1
resources/Mold_Patches\0\Mold-9_patch10.png,0
resources/Mold_Patches\0\Mold-4_patch1.png,0
resources/Mold_Patches\0\Mold-4_patch18.png,0
resources/Mold_Patches\0\Mold-11_patch115.png,0
resources/Mold_Patches\0\Mold-13_patch9.png,0
resources/Mold_Patches\0\Mold-11_patch12.png,0
resources/Mold_Patches\0\Mold-6_patch6.png,0
resources/Mold_Patches\0\Mold-2_patch47.png,0
resources/Mold_Patches\0\Mold-6_patch12.png,0
resources/Mold_Patches\0\Mold-6_patch50.png,0
resources/Mold_Patches\0\Mold-6_patch7.png,0
resources/Mold_Patches\1\Mold-11_randompatch_9.png,1
resources/Mold_Patches\0\Mold-11_patch17.png,0
resources/Mold_Patches\0\Mold-7_patch90.png,0
resources/Mold_Patches\0\Mold-10_patch1.png,0
resources/Mold_Patches\1\Mold-2_patch57.png,1
resources/Mold_Patches\0\Mold-5_patch28.png,0
resources/Mold_Patches\0\Mold-12_patch31.png,0
resources/Mold_Patches\0\Mold-2_patch101.png,0
resources/Mold_Patches\0\Mold-12_patch11.png,0
resources/Mold_Patches\0\Mold-7_patch27.png,0
resources/Mold_Patches\0\Mold-6_patch57.png,0
resources/Mold_Patches\0\Mold-2_patch39.png,0
resources/Mold_Patches\1\Mold-10_patch4.png,1
resources/Mold_Patches\0\Mold-7_patch88.png,0
resources/Mold_Patches\0\Mold-2_randompatch_10.png,0
resources/Mold_Patches\0\Mold-2_patch17.png,0
resources/Mold_Patches\0\Mold-6_patch49.png,0
resources/Mold_Patches\1\Mold-7_patch37.png,1
resources/Mold_Patches\1\Mold-6_patch17.png,1
resources/Mold_Patches\1\Mold-8_randompatch_3.png,1
resources/Mold_Patches\0\Mold-7_patch4.png,0
resources/Mold_Patches\0\Mold-11_patch3.png,0
resources/Mold_Patches\0\Mold-11_patch18.png,0
resources/Mold_Patches\1\Mold-7_randompatch_8.png,1
resources/Mold_Patches\0\Mold-12_patch86.png,0
resources/Mold_Patches\0\Mold-7_patch6.png,0
resources/Mold_Patches\0\Mold-5_patch38.png,0
resources/Mold_Patches\0\Mold-11_patch9.png,0
resources/Mold_Patches\0\Mold-5_randompatch_8.png,0
resources/Mold_Patches\0\Mold-6_patch9.png,0
resources/Mold_Patches\0\Mold-11_patch108.png,0
resources/Mold_Patches\1\Mold-4_randompatch_5.png,1
resources/Mold_Patches\1\Mold-11_patch53.png,1
resources/Mold_Patches\0\Mold-11_patch57.png,0
resources/Mold_Patches\0\Mold-5_patch50.png,0
resources/Mold_Patches\1\Mold-4_patch8.png,1
resources/Mold_Patches\0\Mold-7_patch52.png,0
resources/Mold_Patches\0\Mold-6_patch21.png,0
resources/Mold_Patches\0\Mold-7_patch73.png,0
resources/Mold_Patches\1\Mold-13_patch29.png,1
resources/Mold_Patches\0\Mold-7_patch3.png,0
resources/Mold_Patches\1\Mold-11_patch91.png,1
resources/Mold_Patches\1\Mold-11_patch84.png,1
resources/Mold_Patches\0\Mold-11_patch96.png,0
resources/Mold_Patches\1\Mold-12_patch62.png,1
resources/Mold_Patches\0\Mold-12_patch23.png,0
resources/Mold_Patches\0\Mold-5_patch13.png,0
resources/Mold_Patches\0\Mold-4_patch43.png,0
resources/Mold_Patches\0\Mold-11_patch38.png,0
resources/Mold_Patches\0\Mold-5_patch30.png,0
resources/Mold_Patches\0\Mold-4_patch37.png,0
resources/Mold_Patches\0\Mold-8_randompatch_6.png,0
resources/Mold_Patches\0\Mold-6_patch56.png,0
resources/Mold_Patches\0\Mold-6_randompatch_8.png,0
resources/Mold_Patches\0\Mold-9_patch17.png,0
resources/Mold_Patches\0\Mold-10_patch20.png,0
resources/Mold_Patches\0\Mold-10_patch19.png,0
resources/Mold_Patches\0\Mold-4_patch29.png,0
resources/Mold_Patches\1\Mold-7_patch46.png,1
resources/Mold_Patches\0\Mold-11_patch50.png,0
resources/Mold_Patches\1\Mold-14_randompatch_2.png,1
resources/Mold_Patches\0\Mold-7_patch25.png,0
resources/Mold_Patches\0\Mold-7_patch29.png,0
resources/Mold_Patches\0\Mold-11_patch105.png,0
resources/Mold_Patches\0\Mold-6_patch19.png,0
resources/Mold_Patches\1\Mold-2_patch64.png,1
resources/Mold_Patches\0\Mold-8_randompatch_8.png,0
resources/Mold_Patches\0\Mold-11_patch59.png,0
resources/Mold_Patches\0\Mold-5_patch3.png,0
resources/Mold_Patches\0\Mold-7_patch82.png,0
resources/Mold_Patches\1\Mold-7_patch80.png,1
resources/Mold_Patches\0\Mold-11_patch110.png,0
resources/Mold_Patches\0\Mold-7_patch42.png,0
resources/Mold_Patches\1\Mold-12_patch48.png,1
resources/Mold_Patches\0\Mold-6_patch54.png,0
resources/Mold_Patches\1\Mold-2_patch68.png,1
resources/Mold_Patches\1\Mold-2_randompatch_3.png,1
resources/Mold_Patches\1\Mold-10_patch9.png,1
resources/Mold_Patches\0\Mold-15_patch9.png,0
resources/Mold_Patches\0\Mold-5_patch29.png,0
resources/Mold_Patches\0\Mold-11_patch13.png,0
resources/Mold_Patches\1\Mold-7_randompatch_1.png,1
resources/Mold_Patches\0\Mold-5_patch10.png,0
resources/Mold_Patches\0\Mold-9_patch8.png,0
resources/Mold_Patches\0\Mold-10_patch17.png,0
resources/Mold_Patches\0\Mold-12_patch20.png,0
resources/Mold_Patches\1\Mold-15_randompatch_9.png,1
resources/Mold_Patches\1\Mold-11_patch87.png,1
resources/Mold_Patches\0\Mold-4_patch9.png,0
resources/Mold_Patches\0\Mold-12_patch103.png,0
resources/Mold_Patches\0\Mold-7_patch15.png,0
resources/Mold_Patches\0\Mold-12_patch27.png,0
resources/Mold_Patches\0\Mold-12_patch10.png,0
resources/Mold_Patches\0\Mold-4_patch36.png,0
resources/Mold_Patches\0\Mold-12_patch90.png,0
resources/Mold_Patches\0\Mold-7_patch24.png,0
resources/Mold_Patches\1\Mold-12_patch30.png,1
resources/Mold_Patches\1\Mold-12_patch63.png,1
resources/Mold_Patches\0\Mold-7_patch54.png,0
resources/Mold_Patches\0\Mold-6_patch58.png,0
resources/Mold_Patches\1\Mold-7_patch61.png,1
resources/Mold_Patches\0\Mold-2_patch62.png,0
resources/Mold_Patches\1\Mold-4_patch27.png,1
resources/Mold_Patches\0\Mold-7_patch58.png,0
resources/Mold_Patches\0\Mold-7_patch99.png,0
resources/Mold_Patches\0\Mold-11_patch102.png,0
resources/Mold_Patches\1\Mold-3_randompatch_5.png,1
resources/Mold_Patches\0\Mold-2_patch51.png,0
resources/Mold_Patches\0\Mold-12_patch92.png,0
resources/Mold_Patches\0\Mold-2_patch8.png,0
resources/Mold_Patches\0\Mold-10_randompatch_2.png,0
resources/Mold_Patches\0\Mold-5_patch4.png,0
resources/Mold_Patches\0\Mold-6_patch5.png,0
resources/Mold_Patches\0\Mold-4_patch3.png,0
resources/Mold_Patches\0\Mold-5_patch33.png,0
resources/Mold_Patches\0\Mold-6_patch24.png,0
resources/Mold_Patches\0\Mold-2_patch28.png,0
resources/Mold_Patches\1\Mold-11_patch93.png,1
resources/Mold_Patches\0\Mold-6_patch36.png,0
resources/Mold_Patches\0\Mold-7_patch11.png,0
resources/Mold_Patches\1\Mold-7_patch49.png,1
resources/Mold_Patches\1\Mold-3_randompatch_10.png,1
resources/Mold_Patches\1\Mold-7_patch36.png,1
resources/Mold_Patches\1\Mold-12_patch40.png,1
resources/Mold_Patches\0\Mold-4_patch40.png,0
resources/Mold_Patches\1\Mold-12_patch50.png,1
resources/Mold_Patches\0\Mold-10_randompatch_3.png,0
resources/Mold_Patches\1\Mold-4_randompatch_6.png,1
resources/Mold_Patches\0\Mold-4_patch32.png,0
resources/Mold_Patches\1\Mold-1_randompatch_10.png,1
resources/Mold_Patches\0\Mold-1_patch1.png,0
resources/Mold_Patches\0\Mold-12_patch24.png,0
resources/Mold_Patches\0\Mold-12_patch3.png,0
resources/Mold_Patches\0\Mold-10_patch3.png,0
resources/Mold_Patches\0\Mold-6_patch2.png,0
resources/Mold_Patches\1\Mold-2_patch104.png,1
resources/Mold_Patches\0\Mold-12_patch105.png,0
resources/Mold_Patches\1\Mold-10_randompatch_8.png,1
resources/Mold_Patches\1\Mold-12_patch76.png,1
resources/Mold_Patches\1\Mold-12_patch77.png,1
resources/Mold_Patches\0\Mold-13_randompatch_10.png,0
resources/Mold_Patches\1\Mold-13_patch28.png,1
resources/Mold_Patches\0\Mold-13_patch11.png,0
resources/Mold_Patches\1\Mold-11_randompatch_1.png,1
resources/Mold_Patches\1\Mold-6_patch30.png,1
resources/Mold_Patches\0\Mold-6_patch43.png,0
resources/Mold_Patches\1\Mold-3_randompatch_1.png,1
resources/Mold_Patches\0\Mold-13_patch22.png,0
resources/Mold_Patches\1\Mold-14_randompatch_3.png,1
resources/Mold_Patches\0\Mold-2_patch24.png,0
resources/Mold_Patches\0\Mold-5_patch41.png,0
resources/Mold_Patches\0\Mold-4_patch24.png,0
resources/Mold_Patches\1\Mold-11_patch36.png,1
resources/Mold_Patches\0\Mold-13_patch5.png,0
resources/Mold_Patches\0\Mold-6_randompatch_5.png,0
resources/Mold_Patches\0\Mold-12_patch45.png,0
resources/Mold_Patches\1\Mold-11_patch107.png,1
resources/Mold_Patches\0\Mold-6_patch28.png,0
resources/Mold_Patches\0\Mold-4_patch6.png,0
resources/Mold_Patches\1\Mold-3_randompatch_8.png,1
resources/Mold_Patches\0\Mold-13_patch16.png,0
resources/Mold_Patches\1\Mold-12_randompatch_1.png,1
resources/Mold_Patches\0\Mold-7_patch87.png,0
resources/Mold_Patches\0\Mold-6_patch38.png,0
resources/Mold_Patches\0\Mold-5_patch46.png,0
resources/Mold_Patches\1\Mold-2_patch79.png,1
resources/Mold_Patches\1\Mold-11_patch106.png,1
resources/Mold_Patches\1\Mold-1_patch8.png,1
resources/Mold_Patches\0\Mold-12_patch29.png,0
resources/Mold_Patches\0\Mold-11_patch94.png,0
resources/Mold_Patches\0\Mold-7_patch14.png,0
resources/Mold_Patches\0\Mold-6_patch60.png,0
resources/Mold_Patches\0\Mold-1_patch13.png,0
resources/Mold_Patches\0\Mold-12_patch4.png,0
resources/Mold_Patches\0\Mold-7_patch74.png,0
resources/Mold_Patches\0\Mold-12_patch82.png,0
resources/Mold_Patches\0\Mold-13_patch21.png,0
resources/Mold_Patches\0\Mold-6_patch48.png,0
resources/Mold_Patches\1\Mold-15_patch2.png,1
resources/Mold_Patches\0\Mold-5_patch43.png,0
resources/Mold_Patches\0\Mold-12_patch14.png,0
resources/Mold_Patches\0\Mold-11_patch73.png,0
resources/Mold_Patches\0\Mold-6_patch11.png,0
resources/Mold_Patches\1\Mold-14_randompatch_4.png,1
resources/Mold_Patches\0\Mold-7_patch69.png,0
resources/Mold_Patches\1\Mold-9_randompatch_10.png,1
resources/Mold_Patches\0\Mold-7_patch39.png,0
resources/Mold_Patches\1\Mold-6_randompatch_3.png,1
resources/Mold_Patches\0\Mold-13_patch36.png,0
resources/Mold_Patches\0\Mold-2_patch32.png,0
resources/Mold_Patches\1\Mold-12_patch54.png,1
resources/Mold_Patches\0\Mold-6_randompatch_9.png,0
resources/Mold_Patches\0\Mold-12_patch80.png,0
resources/Mold_Patches\1\Mold-12_patch87.png,1
resources/Mold_Patches\0\Mold-6_patch33.png,0
resources/Mold_Patches\1\Mold-11_patch35.png,1
resources/Mold_Patches\1\Mold-11_patch61.png,1
resources/Mold_Patches\0\Mold-5_randompatch_4.png,0
resources/Mold_Patches\0\Mold-4_patch28.png,0
resources/Mold_Patches\0\Mold-11_patch5.png,0
resources/Mold_Patches\0\Mold-10_randompatch_4.png,0
resources/Mold_Patches\1\Mold-12_randompatch_2.png,1
resources/Mold_Patches\0\Mold-2_patch73.png,0
resources/Mold_Patches\1\Mold-9_randompatch_9.png,1
resources/Mold_Patches\0\Mold-11_patch19.png,0
resources/Mold_Patches\0\Mold-12_patch94.png,0
resources/Mold_Patches\0\Mold-11_patch113.png,0
resources/Mold_Patches\0\Mold-5_randompatch_9.png,0
resources/Mold_Patches\0\Mold-12_patch89.png,0
resources/Mold_Patches\0\Mold-11_patch25.png,0
resources/Mold_Patches\0\Mold-13_patch34.png,0
resources/Mold_Patches\0\Mold-4_patch34.png,0
resources/Mold_Patches\0\Mold-12_patch52.png,0
resources/Mold_Patches\0\Mold-2_patch86.png,0
resources/Mold_Patches\1\Mold-8_randompatch_10.png,1
resources/Mold_Patches\0\Mold-12_patch46.png,0
resources/Mold_Patches\0\Mold-2_patch103.png,0
resources/Mold_Patches\1\Mold-15_randompatch_2.png,1
resources/Mold_Patches\1\Mold-10_patch12.png,1
resources/Mold_Patches\0\Mold-13_patch19.png,0
resources/Mold_Patches\1\Mold-7_patch22.png,1
resources/Mold_Patches\0\Mold-12_patch7.png,0
resources/Mold_Patches\0\Mold-13_patch12.png,0
resources/Mold_Patches\1\Mold-11_patch29.png,1
resources/Mold_Patches\0\Mold-4_patch31.png,0
resources/Mold_Patches\0\Mold-5_patch51.png,0
resources/Mold_Patches\1\Mold-9_randompatch_6.png,1
resources/Mold_Patches\0\Mold-4_patch35.png,0
resources/Mold_Patches\1\Mold-8_randompatch_5.png,1
resources/Mold_Patches\1\Mold-7_patch44.png,1
resources/Mold_Patches\0\Mold-7_patch2.png,0
resources/Mold_Patches\1\Mold-9_patch5.png,1
resources/Mold_Patches\0\Mold-12_patch73.png,0
resources/Mold_Patches\0\Mold-7_patch21.png,0
resources/Mold_Patches\0\Mold-4_patch13.png,0
resources/Mold_Patches\0\Mold-12_patch101.png,0
resources/Mold_Patches\0\Mold-12_patch43.png,0
resources/Mold_Patches\1\Mold-7_randompatch_5.png,1
resources/Mold_Patches\1\Mold-15_patch8.png,1
resources/Mold_Patches\0\Mold-12_patch95.png,0
resources/Mold_Patches\1\Mold-11_patch45.png,1
resources/Mold_Patches\0\Mold-2_patch67.png,0
resources/Mold_Patches\1\Mold-2_randompatch_1.png,1
resources/Mold_Patches\0\Mold-6_patch59.png,0
resources/Mold_Patches\0\Mold-2_patch43.png,0
resources/Mold_Patches\1\Mold-13_randompatch_4.png,1
resources/Mold_Patches\0\Mold-12_patch17.png,0
resources/Mold_Patches\0\Mold-7_patch8.png,0
resources/Mold_Patches\1\Mold-12_patch47.png,1
resources/Mold_Patches\0\Mold-5_patch9.png,0
resources/Mold_Patches\0\Mold-7_patch77.png,0
resources/Mold_Patches\0\Mold-5_patch27.png,0
resources/Mold_Patches\0\Mold-4_patch11.png,0
resources/Mold_Patches\0\Mold-6_patch23.png,0
resources/Mold_Patches\0\Mold-11_patch23.png,0
resources/Mold_Patches\0\Mold-2_patch61.png,0
resources/Mold_Patches\0\Mold-10_randompatch_6.png,0
resources/Mold_Patches\1\Mold-3_randompatch_6.png,1
resources/Mold_Patches\0\Mold-5_patch42.png,0
resources/Mold_Patches\0\Mold-2_patch58.png,0
resources/Mold_Patches\0\Mold-12_patch57.png,0
resources/Mold_Patches\1\Mold-7_randompatch_10.png,1
resources/Mold_Patches\0\Mold-11_patch97.png,0
resources/Mold_Patches\0\Mold-5_patch8.png,0
resources/Mold_Patches\0\Mold-11_patch81.png,0
resources/Mold_Patches\0\Mold-6_patch46.png,0
resources/Mold_Patches\0\Mold-5_randompatch_6.png,0
resources/Mold_Patches\0\Mold-2_patch20.png,0
resources/Mold_Patches\0\Mold-5_patch2.png,0
resources/Mold_Patches\0\Mold-11_patch56.png,0
resources/Mold_Patches\1\Mold-6_patch42.png,1
resources/Mold_Patches\1\Mold-10_patch7.png,1
resources/Mold_Patches\0\Mold-12_patch68.png,0
resources/Mold_Patches\0\Mold-1_patch3.png,0
resources/Mold_Patches\0\Mold-12_patch34.png,0
resources/Mold_Patches\0\Mold-7_patch43.png,0
resources/Mold_Patches\1\Mold-12_patch79.png,1
resources/Mold_Patches\0\Mold-5_patch19.png,0
resources/Mold_Patches\0\Mold-6_patch15.png,0
resources/Mold_Patches\1\Mold-12_randompatch_10.png,1
resources/Mold_Patches\0\Mold-11_patch49.png,0
resources/Mold_Patches\1\Mold-11_patch48.png,1
resources/Mold_Patches\1\Mold-4_randompatch_8.png,1
resources/Mold_Patches\0\Mold-2_patch45.png,0
resources/Mold_Patches\1\Mold-6_patch40.png,1
resources/Mold_Patches\0\Mold-4_patch17.png,0
resources/Mold_Patches\1\Mold-1_randompatch_5.png,1
resources/Mold_Patches\1\Mold-2_patch48.png,1
resources/Mold_Patches\1\Mold-7_patch72.png,1
resources/Mold_Patches\0\Mold-11_patch8.png,0
resources/Mold_Patches\1\Mold-12_patch91.png,1
resources/Mold_Patches\0\Mold-6_patch62.png,0
resources/Mold_Patches\0\Mold-5_patch1.png,0
resources/Mold_Patches\1\Mold-11_patch30.png,1
resources/Mold_Patches\0\Mold-13_patch23.png,0
resources/Mold_Patches\0\Mold-12_patch61.png,0
resources/Mold_Patches\0\Mold-11_patch14.png,0
resources/Mold_Patches\1\Mold-3_randompatch_7.png,1
resources/Mold_Patches\0\Mold-15_randompatch_1.png,0
resources/Mold_Patches\0\Mold-12_patch104.png,0
resources/Mold_Patches\1\Mold-11_patch109.png,1
resources/Mold_Patches\0\Mold-2_patch56.png,0
resources/Mold_Patches\0\Mold-6_patch73.png,0
resources/Mold_Patches\1\Mold-10_patch14.png,1
resources/Mold_Patches\0\Mold-11_patch20.png,0
resources/Mold_Patches\0\Mold-7_patch81.png,0
resources/Mold_Patches\0\Mold-12_patch75.png,0
resources/Mold_Patches\1\Mold-10_patch11.png,1
resources/Mold_Patches\0\Mold-11_patch86.png,0
resources/Mold_Patches\0\Mold-7_patch51.png,0
resources/Mold_Patches\1\Mold-11_randompatch_10.png,1
resources/Mold_Patches\0\Mold-11_patch99.png,0
resources/Mold_Patches\0\Mold-13_patch3.png,0
resources/Mold_Patches\0\Mold-10_patch23.png,0
resources/Mold_Patches\1\Mold-6_patch22.png,1
resources/Mold_Patches\0\Mold-2_patch89.png,0
resources/Mold_Patches\0\Mold-7_patch16.png,0
resources/Mold_Patches\0\Mold-2_patch74.png,0
resources/Mold_Patches\1\Mold-4_randompatch_1.png,1
resources/Mold_Patches\0\Mold-2_patch99.png,0
resources/Mold_Patches\0\Mold-4_patch30.png,0
resources/Mold_Patches\0\Mold-6_patch70.png,0
resources/Mold_Patches\1\Mold-12_patch60.png,1
resources/Mold_Patches\0\Mold-10_patch2.png,0
resources/Mold_Patches\0\Mold-5_patch39.png,0
resources/Mold_Patches\0\Mold-2_patch26.png,0
resources/Mold_Patches\0\Mold-7_patch68.png,0
resources/Mold_Patches\0\Mold-12_patch97.png,0
resources/Mold_Patches\1\Mold-13_patch38.png,1
resources/Mold_Patches\1\Mold-1_randompatch_2.png,1
resources/Mold_Patches\0\Mold-10_patch18.png,0
resources/Mold_Patches\0\Mold-2_patch53.png,0
resources/Mold_Patches\0\Mold-12_patch8.png,0
resources/Mold_Patches\1\Mold-1_patch12.png,1
resources/Mold_Patches\1\Mold-7_randompatch_3.png,1
resources/Mold_Patches\0\Mold-6_patch34.png,0
resources/Mold_Patches\1\Mold-10_randompatch_1.png,1
resources/Mold_Patches\0\Mold-12_patch15.png,0
resources/Mold_Patches\1\Mold-13_randompatch_6.png,1
resources/Mold_Patches\1\Mold-11_patch44.png,1
resources/Mold_Patches\0\Mold-11_patch10.png,0
resources/Mold_Patches\1\Mold-1_patch7.png,1
resources/Mold_Patches\1\Mold-11_randompatch_5.png,1
resources/Mold_Patches\0\Mold-13_patch37.png,0
resources/Mold_Patches\0\Mold-2_patch87.png,0
resources/Mold_Patches\0\Mold-6_patch45.png,0
resources/Mold_Patches\0\Mold-2_patch15.png,0
resources/Mold_Patches\0\Mold-11_patch72.png,0
resources/Mold_Patches\0\Mold-4_patch16.png,0
resources/Mold_Patches\0\Mold-2_patch36.png,0
resources/Mold_Patches\0\Mold-4_patch7.png,0
resources/Mold_Patches\0\Mold-11_patch98.png,0
resources/Mold_Patches\1\Mold-1_patch14.png,1
resources/Mold_Patches\0\Mold-2_patch46.png,0
resources/Mold_Patches\0\Mold-12_patch28.png,0
resources/Mold_Patches\0\Mold-2_patch37.png,0
resources/Mold_Patches\0\Mold-12_patch106.png,0
resources/Mold_Patches\0\Mold-2_patch81.png,0
resources/Mold_Patches\0\Mold-7_patch40.png,0
resources/Mold_Patches\0\Mold-12_patch22.png,0
